brand,title,url,autoship_price,price,old_price,rating
Terramycin,"
        
          
          
          
            ,
             Ophthalmic Ointment for Dogs, Cats & Horses, 3.5-g, 1 count
          
        
      ",https://www.chewy.com/terramycin-ophthalmic-ointment-dogs/dp/179181,,"
              $20.85
            ","
							
						",424
Trifexis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 10.1-20 lbs, 6 treatments (Orange Box)
          
        
      ",https://www.chewy.com/trifexis-chewable-tablets-dogs-101-20/dp/173010,"
              $111.52
            ","
              $117.39
            ","
							
						",223
Tri-Heart Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, up to 25 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/tri-heart-plus-chewable-tablets-dogs/dp/172940,,"
              $19.99
            ","
							
                $29.30
              
						",161
Fluoxetine,"
        
          
          
          
            ,
             (Generic) Capsules for Dogs, 20-mg, 1 capsule
          
        
      ",https://www.chewy.com/fluoxetine-generic-capsules-dogs-20/dp/173519,"
              $0.09
            ","
              $0.10
            ","
							
						",37
Cerenia,"
        
          
          
          
            ,
             (Maropitant Citrate) Tablets for Dogs, 16-mg, 4 tablets
          
        
      ",https://www.chewy.com/cerenia-maropitant-citrate-tablets/dp/173067,,"
              $16.72
            ","
							
						",188
Simparica Trio,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 44.1-88 lb, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/simparica-trio-chewable-tablets-dogs/dp/251351,"
              $142.32
            ","
              $149.81
            ","
							
						",37
Bravecto,"
        
          
          
          
            ,
             Chews for Dogs, 88-123 lbs, 1 treatment (Pink Box)
          
        
      ",https://www.chewy.com/bravecto-chews-dogs-88-123-lbs-1/dp/172911,,"
              $56.99
            ","
							
                $64.50
              
						",102
Incurin,"
        
          
          
          
            ,
             (Estriol) Tablets for Dogs, 1-mg, 30 tablets
          
        
      ",https://www.chewy.com/incurin-estriol-tablets-dogs-1-mg-30/dp/172913,,"
              $19.99
            ","
							
						",52
Methimazole,"
        
          
          
          
            ,
             (Generic) Tablets for Cats, 5-mg, 1 tablet
          
        
      ",https://www.chewy.com/methimazole-generic-tablets-cats-5-mg/dp/173628,"
              $0.11
            ","
              $0.12
            ","
							
						",112
Trifexis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 40.1-60 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/trifexis-chewable-tablets-dogs-401-60/dp/173014,"
              $116.84
            ","
              $122.99
            ","
							
						",144
ProZinc,"
        
          
          
          
            ,
             Insulin U-40 for Dogs and Cats, 10-mL
          
        
      ",https://www.chewy.com/prozinc-insulin-u-40-dogs-cats-10-ml/dp/173715,"
              $101.93
            ","
              $107.29
            ","
							
						",114
Simparica,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 11.1-22 lbs, 6 treatments (Orange Box)
          
        
      ",https://www.chewy.com/simparica-chewable-tablets-dogs-111/dp/173123,"
              $83.79
            ","
              $88.20
            ","
							
                $94.00
              
						",128
Tri-Heart Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 26-50 lbs, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/tri-heart-plus-chewable-tablets-dogs/dp/172942,,"
              $27.99
            ","
							
                $39.30
              
						",96
Trifexis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 20.1-40 lbs, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/trifexis-chewable-tablets-dogs-201-40/dp/173012,"
              $114.47
            ","
              $120.49
            ","
							
						",144
Optimmune,"
        
          
          
          
            ,
             (0.2% Cyclosporine) Ophthalmic Ointment for Dogs, 3.5-g
          
        
      ",https://www.chewy.com/optimmune-02-cyclosporine-ophthalmic/dp/172919,,"
              $54.70
            ","
							
						",67
Revolution Plus,"
        
          
          
          
            ,
             Topical Solution for Cats, 5.6-11 lbs, 6 treatment (Orange Box)
          
        
      ",https://www.chewy.com/revolution-plus-topical-solution-cats/dp/185730,"
              $113.24
            ","
              $119.20
            ","
							
						",104
Sentinel Spectrum,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 50.1-100 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/sentinel-spectrum-chewable-tablets/dp/173289,"
              $73.97
            ","
              $77.86
            ","
							
						",77
Rimadyl,"
        
          
          
          
            ,
             (Carprofen) Chewable Tablet for Dogs, 100-mg, 1 chewable tablet
          
        
      ",https://www.chewy.com/rimadyl-carprofen-chewable-tablet/dp/173108,"
              $1.55
            ","
              $1.63
            ","
							
						",146
Lactated Ringers,"
        
          
          
          
            ,
             (Generic) Electrolyte Injection Solution, 1000-mL
          
        
      ",https://www.chewy.com/lactated-ringers-generic-electrolyte/dp/173586,"
              $9.49
            ","
              $9.99
            ","
							
						",66
Simparica,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 22.1-44 lbs, 6 treatments (Mint Box)
          
        
      ",https://www.chewy.com/simparica-chewable-tablets-dogs-221/dp/173126,"
              $90.71
            ","
              $95.48
            ","
							
                $98.00
              
						",103
UltiCare,"
        
          
          
          
            ,
             UltiGuard Safe Pack Insulin Syringes U-40 29 G x 0.5-in, 0.3-cc, 100 count
          
        
      ",https://www.chewy.com/ulticare-ultiguard-safe-pack-insulin/dp/173578,"
              $25.13
            ","
              $26.45
            ","
							
						",183
Trazodone,"
        
          
          
          
            ,
             (Generic) Tablets, 100-mg, 1 tablet
          
        
      ",https://www.chewy.com/trazodone-generic-tablets-100-mg-1/dp/187633,"
              $0.14
            ","
              $0.15
            ","
							
						",48
Adequan,"
        
          
          
          
            ,
             Canine Injectable for Dogs, 100 mg/mL, 5-mL, pack of 2
          
        
      ",https://www.chewy.com/adequan-canine-injectable-dogs-100/dp/176383,"
              $128.24
            ","
              $134.99
            ","
							
						",119
Bravecto,"
        
          
          
          
            ,
             Topical Solution for Cats, 6.2-13.8 lbs, 1 treatment (Blue Box)
          
        
      ",https://www.chewy.com/bravecto-topical-solution-cats-62-138/dp/172889,,"
              $52.52
            ","
							
                $63.00
              
						",97
Revolution Plus,"
        
          
          
          
            ,
             Topical Solution for Cats, 11.1-22 lbs, 6 treatment (Green Box)
          
        
      ",https://www.chewy.com/revolution-plus-topical-solution-cats/dp/185733,"
              $116.11
            ","
              $122.22
            ","
							
						",86
Monoject,"
        
          
          
          
            ,
             Insulin Syringes/Needles U-40 29 Gauge x 0.5-in, 0.5cc, 100 count
          
        
      ",https://www.chewy.com/monoject-insulin-syringesneedles-u-40/dp/204483,,"
              $15.50
            ","
							
						",60
Bravecto,"
        
          
          
          
            ,
             Chews for Dogs, 4.4-9.9 lbs, 1 treatment (Yellow Box)
          
        
      ",https://www.chewy.com/bravecto-chews-dogs-44-99-lbs-1/dp/172903,,"
              $56.99
            ","
							
                $64.50
              
						",61
Thyro-Tabs,"
        
          
          
          
            ,
             (Levothyroxine Sodium) Tablets, 0.8-mg, 1 tablet
          
        
      ",https://www.chewy.com/thyro-tabs-levothyroxine-sodium/dp/173607,"
              $0.13
            ","
              $0.14
            ","
							
						",10
Proin,"
        
          
          
          
            ,
             Extended-Release Tablets for Dogs, 74-mg, 1 tablet
          
        
      ",https://www.chewy.com/proin-extended-release-tablets-dogs/dp/243347,,"
              $0.77
            ","
							
                $0.83
              
						",44
Credelio,"
        
          
          
          
            ,
             Chewable Tablet for Dogs, 50.1-100 lbs, 6 chewable tablets (Blue Box)
          
        
      ",https://www.chewy.com/credelio-chewable-tablet-dogs-501-100/dp/189631,"
              $104.97
            ","
              $110.49
            ","
							
						",41
Simparica Trio,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 22.1-44.0 lb, 6 treatments (Teal Box)
          
        
      ",https://www.chewy.com/simparica-trio-chewable-tablets-dogs/dp/251349,"
              $138.20
            ","
              $145.47
            ","
							
						",19
Benazepril,"
        
          
          
          
            ,
             HCl (Generic) Tablets, 5-mg, 1 tablet
          
        
      ",https://www.chewy.com/benazepril-hcl-generic-tablets-5-mg-1/dp/173393,"
              $0.09
            ","
              $0.10
            ","
							
						",1
AlphaTRAK,"
        
          
          
          
            ,
             2 Blood Glucose Test Strips for Dogs & Cats, 50 count
          
        
      ",https://www.chewy.com/alphatrak-2-blood-glucose-test-strips/dp/262435,,"
              $51.60
            ","
							
						",53
Prednisolone,"
        
          
          
          
            ,
             (Generic) Tablets, 5-mg, 1 tablet
          
        
      ",https://www.chewy.com/prednisolone-generic-tablets-5-mg-1/dp/173693,"
              $0.10
            ","
              $0.11
            ","
							
						",63
Credelio,"
        
          
          
          
            ,
             Chewable Tablet for Dogs, 12.1-25 lbs, 1 tablet (Orange Box)
          
        
      ",https://www.chewy.com/credelio-chewable-tablet-dogs-121-25/dp/175374,"
              $18.99
            ","
              $19.99
            ","
							
						",43
Simparica Trio,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 11.1-22.0 lb, 6 treatments (Caramel Box)
          
        
      ",https://www.chewy.com/simparica-trio-chewable-tablets-dogs/dp/251347,"
              $127.67
            ","
              $134.39
            ","
							
						",17
Credelio,"
        
          
          
          
            ,
             Chewable Tablet for Dogs, 25.1-50 lbs, 1 tablet (Green Box)
          
        
      ",https://www.chewy.com/credelio-chewable-tablet-dogs-251-50/dp/175376,"
              $20.89
            ","
              $21.99
            ","
							
						",33
Felimazole,"
        
          
          
          
            ,
             Tablets for Cats, 2.5-mg, 1 tablet
          
        
      ",https://www.chewy.com/felimazole-tablets-cats-25-mg-1/dp/201044,,"
              $0.18
            ","
							
						",46
Vetivex,"
        
          
          
          
            ,
             Veterinary DEHP Free Lactated Ringers Electrolyte Injection Solution, 1000-mL
          
        
      ",https://www.chewy.com/vetivex-veterinary-dehp-free-lactated/dp/179220,"
              $10.89
            ","
              $11.46
            ","
							
						",54
K-BroVet,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 500-mg, 60 tablets
          
        
      ",https://www.chewy.com/k-brovet-chewable-tablets-dogs-500-mg/dp/173707,,"
              $34.99
            ","
							
						",5
Revolution,"
        
          
          
          
            ,
             Topical Solution for Dogs, 40.1-85 lbs, 6 treatments (Teal Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-dogs-401/dp/173093,"
              $113.75
            ","
              $119.74
            ","
							
						",121
Revolution,"
        
          
          
          
            ,
             Topical Solution for Dogs, 10.1-20 lbs, 6 treatments (Brown Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-dogs-101/dp/173087,"
              $107.71
            ","
              $113.38
            ","
							
						",124
Previcox,"
        
          
          
          
            ,
             (Firocoxib) Chewable Tablets for Dogs, 227-mg, 1 tablet
          
        
      ",https://www.chewy.com/previcox-firocoxib-chewable-tablets/dp/173258,"
              $3.13
            ","
              $3.29
            ","
							
                $3.49
              
						",61
Trifexis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 5-10 lbs, 6 treatments (Magenta Box)
          
        
      ",https://www.chewy.com/trifexis-chewable-tablets-dogs-5-10/dp/173008,"
              $106.20
            ","
              $111.79
            ","
							
						",69
Ursodiol,"
        
          
          
          
            ,
             (Generic) Tablets, 250-mg, 1 tablet
          
        
      ",https://www.chewy.com/ursodiol-generic-tablets-250-mg-1/dp/191793,"
              $1.00
            ","
              $1.05
            ","
							
						",2
Jorvet,"
        
          
          
          
            ,
             Infusion Set with Y Injection 78-in, 20 Drops per mL
          
        
      ",https://www.chewy.com/jorvet-infusion-set-y-injection-78-in/dp/179882,"
              $6.53
            ","
              $6.87
            ","
							
						",35
Zonisamide,"
        
          
          
          
            ,
             (Generic) Capsules, 100-mg, 1 capsule
          
        
      ",https://www.chewy.com/zonisamide-generic-capsules-100-mg-1/dp/173794,"
              $0.22
            ","
              $0.23
            ","
							
						",1
Levetiracetam,"
        
          
          
          
            ,
             (Generic) Tablets, 250-mg, 1 tablet
          
        
      ",https://www.chewy.com/levetiracetam-generic-tablets-250-mg/dp/173595,"
              $0.10
            ","
              $0.11
            ","
							
						",2
Prednisone,"
        
          
          
          
            ,
             (Generic) Tablets, 5-mg, 1 tablet
          
        
      ",https://www.chewy.com/prednisone-generic-tablets-5-mg-1/dp/173697,"
              $0.13
            ","
              $0.14
            ","
							
						",52
Atopica,"
        
          
          
          
            ,
             (Cyclosporine) Oral Solution for Cats, 100 mg/mL, 17-mL
          
        
      ",https://www.chewy.com/atopica-cyclosporine-oral-solution/dp/172949,"
              $108.77
            ","
              $114.49
            ","
							
						",45
Interceptor,"
        
          
          
          
            ,
             Tablets for Dogs 51-100 lbs & Cats 12.1-25 lbs, 6 treatments (White Box)
          
        
      ",https://www.chewy.com/interceptor-tablets-dogs-51-100-lbs/dp/172993,"
              $55.09
            ","
              $57.99
            ","
							
						",33
Advantage Multi,"
        
          
          
          
            ,
             Topical Solution for Cats, 9.1-18 lbs, 6 treatments (Purple Box)
          
        
      ",https://www.chewy.com/advantage-multi-topical-solution-cats/dp/173155,"
              $96.41
            ","
              $101.48
            ","
							
                $118.74
              
						",60
Amlodipine,"
        
          
          
          
            ,
             Besylate (Generic) Tablets, 2.5-mg, 1 tablet
          
        
      ",https://www.chewy.com/amlodipine-besylate-generic-tablets/dp/173375,"
              $0.09
            ","
              $0.09
            ","
							
						",2
PancrePlus,"
        
          
          
          
            ,
             Powder for Dogs & Cats, 12-oz
          
        
      ",https://www.chewy.com/pancreplus-powder-dogs-cats-12-oz/dp/173681,"
              $115.89
            ","
              $121.99
            ","
							
						",8
Meloxicam,"
        
          
          
          
            ,
             (Generic) Oral Suspension for Dogs, 1.5 mg/mL, 32-mL
          
        
      ",https://www.chewy.com/meloxicam-generic-oral-suspension/dp/173624,"
              $30.49
            ","
              $32.10
            ","
							
						",82
Deramaxx,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 75-mg, 1 tablet
          
        
      ",https://www.chewy.com/deramaxx-chewable-tablets-dogs-75-mg/dp/172972,"
              $2.75
            ","
              $2.90
            ","
							
						",84
AlphaTRAK,"
        
          
          
          
            ,
             2 Blood Glucose Monitoring System Starter Kit for Dogs & Cats, 50 strips
          
        
      ",https://www.chewy.com/alphatrak-2-blood-glucose-monitoring/dp/262434,,"
              $55.00
            ","
							
						",104
Temaril-P,"
        
          
          
          
            ,
             Tablets for Dogs, 1 tablet
          
        
      ",https://www.chewy.com/temaril-p-tablets-dogs-1-tablet/dp/173144,,"
              $0.88
            ","
							
						",33
Fluoxetine,"
        
          
          
          
            ,
             (Generic) Tablets for Dogs, 10-mg, 1 tablet
          
        
      ",https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/173521,"
              $0.76
            ","
              $0.80
            ","
							
						",16
UltiCare,"
        
          
          
          
            ,
             Insulin Syringes U-40 29 G x 0.5-in 1/2 Unit Markings, 0.3-cc, 100 count
          
        
      ",https://www.chewy.com/ulticare-insulin-syringes-u-40-29-g-x/dp/206319,"
              $19.60
            ","
              $20.63
            ","
							
						",32
Spironolactone,"
        
          
          
          
            ,
             (Generic) Tablets, 25-mg, 1 tablet
          
        
      ",https://www.chewy.com/spironolactone-generic-tablets-25-mg/dp/173733,"
              $0.13
            ","
              $0.14
            ","
							
						",
Simparica,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 5.6-11 lbs, 6 treatments (Purple Box)
          
        
      ",https://www.chewy.com/simparica-chewable-tablets-dogs-56-11/dp/173120,"
              $82.24
            ","
              $86.57
            ","
							
                $94.00
              
						",57
Comfortis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs 10.1-20 lbs & Cats 6.1-12 lbs, 6 treatments (Orange Box)
          
        
      ",https://www.chewy.com/comfortis-chewable-tablets-dogs-101/dp/172962,"
              $96.89
            ","
              $101.99
            ","
							
						",94
Advantage Multi,"
        
          
          
          
            ,
             Topical Solution for Dogs, 55.1-88 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/advantage-multi-topical-solution-dogs/dp/173163,"
              $107.49
            ","
              $113.15
            ","
							
                $127.74
              
						",45
Revolution,"
        
          
          
          
            ,
             Topical Solution for Puppy & Kitten, under 5 lbs, 3 treatments (Mauve Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-puppy/dp/173081,"
              $52.13
            ","
              $54.87
            ","
							
						",63
Tylan,"
        
          
          
          
            ,
             Soluble Powder, 100-g
          
        
      ",https://www.chewy.com/tylan-soluble-powder-100-g/dp/173769,"
              $53.19
            ","
              $55.99
            ","
							
						",75
Lactulose,"
        
          
          
          
            ,
             (Generic) Oral Solution, 10 g/15-mL, 16-oz
          
        
      ",https://www.chewy.com/lactulose-generic-oral-solution-10/dp/173588,"
              $14.24
            ","
              $14.99
            ","
							
						",8
Bravecto,"
        
          
          
          
            ,
             Plus Topical Solution for Cats, >6.2-13.8 lbs, 1 treatment (Blue Box)
          
        
      ",https://www.chewy.com/bravecto-plus-topical-solution-cats/dp/241131,,"
              $39.85
            ","
							
						",17
Terumo,"
        
          
          
          
            ,
             Hypodermic Thin Wall 18 Gauge Needles, 1 Inch, 100 count
          
        
      ",https://www.chewy.com/terumo-hypodermic-thin-wall-18-gauge/dp/183934,"
              $10.84
            ","
              $11.41
            ","
							
						",39
Interceptor Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 2-8 lbs, 6 treatments (Orange Box)
          
        
      ",https://www.chewy.com/interceptor-plus-chewable-tablets/dp/172979,"
              $37.52
            ","
              $39.49
            ","
							
						",38
Levetiracetam,"
        
          
          
          
            ,
             (Generic) Extended-Release Tablets, 750-mg, 1 tablet
          
        
      ",https://www.chewy.com/levetiracetam-generic-extended/dp/173593,"
              $0.70
            ","
              $0.74
            ","
							
						",6
Simparica,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 88.1-132 lbs, 6 treatments (Brown Box)
          
        
      ",https://www.chewy.com/simparica-chewable-tablets-dogs-881/dp/173132,"
              $94.69
            ","
              $99.67
            ","
							
                $104.00
              
						",38
Metronidazole,"
        
          
          
          
            ,
             (Generic) Tablets, 250-mg, 1 tablet
          
        
      ",https://www.chewy.com/metronidazole-generic-tablets-250-mg/dp/173640,"
              $0.21
            ","
              $0.22
            ","
							
						",4
Credelio,"
        
          
          
          
            ,
             Chewable Tablet for Dogs, 6.1-12 lbs, 1 tablet (Pink Box)
          
        
      ",https://www.chewy.com/credelio-chewable-tablet-dogs-61-12/dp/175372,"
              $18.99
            ","
              $19.99
            ","
							
						",22
Latanoprost,"
        
          
          
          
            ,
             Ophthalmic Solution 0.005%, 2.5-mL
          
        
      ",https://www.chewy.com/latanoprost-ophthalmic-solution-0005/dp/204735,"
              $9.45
            ","
              $9.95
            ","
							
                $11.41
              
						",15
Atopica,"
        
          
          
          
            ,
             (Cyclosporine) Capsules for Dogs, 15 capsules, 100-mg (33.1-64 lbs)
          
        
      ",https://www.chewy.com/atopica-cyclosporine-capsules-dogs-15/dp/172954,"
              $88.82
            ","
              $93.49
            ","
							
						",31
Advantage Multi,"
        
          
          
          
            ,
             Topical Solution for Dogs, 20.1-55 lbs, 6 treatments (Red Box)
          
        
      ",https://www.chewy.com/advantage-multi-topical-solution-dogs/dp/173161,"
              $107.49
            ","
              $113.15
            ","
							
                $127.74
              
						",40
VetOne,"
        
          
          
          
            ,
             Insulin Syringes/Needles U-40 29 Gauge x 0.5-in, 0.5-cc, 10 count
          
        
      ",https://www.chewy.com/vetone-insulin-syringesneedles-u-40/dp/173575,"
              $2.56
            ","
              $2.70
            ","
							
						",39
Revolution,"
        
          
          
          
            ,
             Topical Solution for Dogs, 20.1-40 lbs, 6 treatments (Red Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-dogs-201/dp/173090,"
              $113.31
            ","
              $119.27
            ","
							
						",55
Revolution,"
        
          
          
          
            ,
             Topical Solution for Dogs, 5.1-10 lbs, 6 treatments (Purple Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-dogs-51/dp/173084,"
              $104.47
            ","
              $109.97
            ","
							
						",66
Interceptor,"
        
          
          
          
            ,
             Tablets for Dogs 26-50 lbs & Cats 6.1-12 lbs, 6 treatments (Yellow Box)
          
        
      ",https://www.chewy.com/interceptor-tablets-dogs-26-50-lbs/dp/172991,"
              $44.64
            ","
              $46.99
            ","
							
						",20
UltiCare,"
        
          
          
          
            ,
             Insulin Syringes U-100 29 G x 0.5-in, 0.3-cc, 100 count
          
        
      ",https://www.chewy.com/ulticare-insulin-syringes-u-100-29-g/dp/206407,"
              $12.34
            ","
              $12.99
            ","
							
						",25
Bravecto,"
        
          
          
          
            ,
             Topical Solution for Cats, 13.8-27.5 lbs, 1 treatment (Purple Box)
          
        
      ",https://www.chewy.com/bravecto-topical-solution-cats-138/dp/172891,,"
              $52.52
            ","
							
                $63.00
              
						",38
Reconcile,"
        
          
          
          
            ,
             Tablets for Dogs, 32 mg, 30 tablets
          
        
      ",https://www.chewy.com/reconcile-tablets-dogs-32-mg-30/dp/191440,,"
              $17.99
            ","
							
						",16
